run_number,world-size,patch_resolution,landscape_number,hab_amount,clumpiness,specie,perceptual_range,initial_individuals,mortality_habitat,mortality_matrix,min_dist_before_settle,origin_site,min_Ci,var_Ci,behaviours,discharge-rate,En_mean,En_sd,import_hab_quality_surface,hab_quality_folder,hab_quality_per_frag,ac_simple,autocorrelation,ac,
12,150,10,14,17,96,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
13,150,10,11,58,94,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
14,150,10,13,46,95,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
15,150,10,15,20,47,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
16,150,10,18,36,66,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
17,150,10,17,51,96,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
18,150,10,20,21,71,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
19,150,10,16,67,49,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
20,150,10,19,54,31,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
21,150,10,21,35,99,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
22,150,10,22,19,36,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
23,150,10,23,19,71,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
24,150,10,25,23,88,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
25,150,10,24,50,19,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
26,150,10,26,10,88,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
27,150,10,27,10,50,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
28,150,10,28,20,14,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
29,150,10,29,36,39,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
30,150,10,32,30,50,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
31,150,10,31,43,81,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
32,150,10,30,66,45,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
33,150,10,34,5,57,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
34,150,10,33,69,89,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
35,150,10,35,48,81,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
36,150,10,36,10,66,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
37,150,10,37,6,18,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
38,150,10,38,18,15,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
39,150,10,39,61,70,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
40,150,10,40,68,59,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
41,150,10,43,23,53,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
42,150,10,41,65,32,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
